Date,Symbol,Open,High,Low,Close,Volume
2019-07-08 00:00:00,BTCUSD,11475.07,11540.33,11469.53,11506.43,10.77073088
2019-07-07 23:00:00,BTCUSD,11423.0,11482.72,11423.0,11475.07,32.99655899
2019-07-07 22:00:00,BTCUSD,11526.25,11572.74,11333.59,11423.0,48.9377301868
2019-07-07 21:00:00,BTCUSD,11515.8,11562.65,11478.2,11526.25,25.3239076786
2019-07-07 20:00:00,BTCUSD,11547.98,11624.88,11423.94,11515.8,63.2119724403
2019-07-07 19:00:00,BTCUSD,11470.47,11610.0,11432.32,11547.98,67.915214697
2019-07-07 18:00:00,BTCUSD,11502.04,11525.0,11426.74,11470.47,31.1094771869
2019-07-07 17:00:00,BTCUSD,11201.6,11566.43,11201.6,11502.04,121.5256740453
2019-07-07 16:00:00,BTCUSD,11254.97,11254.97,11135.01,11201.6,23.5194946648
2019-07-07 15:00:00,BTCUSD,11358.05,11408.02,11189.0,11254.97,64.0821938629
2019-07-07 14:00:00,BTCUSD,11383.54,11428.95,11358.05,11358.05,8.2622672695
2019-07-07 13:00:00,BTCUSD,11355.72,11406.79,11339.27,11383.54,51.6059253861
2019-07-07 12:00:00,BTCUSD,11340.05,11465.22,11337.03,11355.72,48.1136446184
2019-07-07 11:00:00,BTCUSD,11294.05,11374.93,11243.21,11340.05,12.8023441582
2019-07-07 10:00:00,BTCUSD,11249.4,11294.05,11222.21,11294.05,6.44383469
2019-07-07 09:00:00,BTCUSD,11199.49,11253.82,11171.71,11249.4,11.40409831
2019-07-07 08:00:00,BTCUSD,11193.62,11208.88,11125.0,11199.49,5.9693022589
2019-07-07 07:00:00,BTCUSD,11192.47,11238.91,11177.54,11193.62,8.5753152458
2019-07-07 06:00:00,BTCUSD,11234.94,11245.97,11167.2,11192.47,20.6120658352
2019-07-07 05:00:00,BTCUSD,11283.47,11307.31,11200.4,11234.94,10.9702050688
2019-07-07 04:00:00,BTCUSD,11148.88,11311.76,11123.45,11283.47,22.5223134311
2019-07-07 03:00:00,BTCUSD,11187.23,11212.04,11100.0,11148.88,19.9689950414
2019-07-07 02:00:00,BTCUSD,11225.98,11225.98,11111.47,11187.23,31.4902844666
2019-07-07 01:00:00,BTCUSD,11191.96,11243.87,11139.88,11225.98,21.8799189215
2019-07-07 00:00:00,BTCUSD,11242.22,11252.35,11086.72,11191.96,68.8971686661
2019-07-06 23:00:00,BTCUSD,11232.19,11259.74,11170.43,11242.22,20.4039169492
2019-07-06 22:00:00,BTCUSD,11189.46,11233.41,11050.0,11232.19,35.2958622536
2019-07-06 21:00:00,BTCUSD,11471.16,11471.16,11111.11,11189.46,55.1520672366
2019-07-06 20:00:00,BTCUSD,11507.72,11531.48,11443.51,11471.16,10.5394969151
2019-07-06 19:00:00,BTCUSD,11492.82,11533.71,11463.55,11507.72,11.6096140135
2019-07-06 18:00:00,BTCUSD,11588.69,11620.74,11442.5,11492.82,43.3277185142
2019-07-06 17:00:00,BTCUSD,11609.99,11628.75,11537.9,11588.69,37.1337911238
2019-07-06 16:00:00,BTCUSD,11632.9,11722.58,11565.09,11609.99,38.0973146465
